id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_velocidad_bajada,Banda ancha fija,Dial up,Total_Bandaancha_bandaangosta
20213SantaFe,2021,3,Santa Fe,75.02,4670,5790,193207,20125,83941,5508,290793,16267.0,841584,841433,151.0,841584
20213SantiagoDelEstero,2021,3,Santiago Del Estero,47.0,1230,9090,32752,61838,11274,8010,6863,8980.0,115458,115457,1.0,115458
20213TierraDelFuego,2021,3,Tierra Del Fuego,94.95,170,0,23723,13397,9782,1433,976,8950.0,50223,49934,289.0,50223
20213Tucumán,2021,3,Tucumán,54.64,320,970,39446,50293,21986,53,115154,1640.0,232472,232447,25.0,232472
20212BuenosAires,2021,2,Buenos Aires,70.0,37192,31178,1096049,244001,140322,236897,2337604,9108.0,4132351,4127167,5184.0,4132351
20212CapitalFederal,2021,2,Capital Federal,110.14,2940,6030,157558,73568,43859,86655,1037752,660.0,1400355,1398747,1608.0,1400355
20212Catamarca,2021,2,Catamarca,52.34,710,0,7219,9091,6828,4941,25388,2206.0,55744,55743,1.0,55744
20212Chaco,2021,2,Chaco,43.33,3010,1120,23444,21574,24032,16069,47239,7958.0,140729,140726,3.0,140729
20212Chubut,2021,2,Chubut,72.29,1040,1050,89639,22605,16604,3896,1112,5172.0,139237,138412,825.0,139237
20212Córdoba,2021,2,Córdoba,80.12,990,2452,201757,136516,6695,70824,442357,9925.0,930880,930818,62.0,930880
20212Corrientes,2021,2,Corrientes,43.54,670,6450,29419,27037,24524,10059,32697,5053.0,129501,129498,3.0,129501
20212EntreRíos,2021,2,Entre Ríos,61.66,1070,3024,63518,55349,39468,18484,61605,16077.0,257632,257617,15.0,257632
20212Formosa,2021,2,Formosa,33.23,3810,0,22364,731,746,1341,11077,1618.0,51551,51551,0.0,51551
20212Jujuy,2021,2,Jujuy,56.18,480,1750,24182,16577,37908,6070,29950,2401.0,111848,111848,0.0,111848
20212LaPampa,2021,2,La Pampa,82.08,2980,5540,64146,7769,8128,3399,9311,4062.0,97667,97551,116.0,97667
20212LaRioja,2021,2,La Rioja,76.98,180,10,5312,5971,23298,4825,42158,190.0,81602,81599,3.0,81602
20212Mendoza,2021,2,Mendoza,40.97,360,310,137462,10886,56117,4403,20686,500.0,229671,229052,619.0,229671
20212Misiones,2021,2,Misiones,45.01,510,50,41643,25907,25811,16172,38308,8279.0,156176,156176,0.0,156176
20212Neuquén,2021,2,Neuquén,69.14,1120,3270,57713,8631,5871,5943,54008,5645.0,138250,137877,373.0,138250
20212RíoNegro,2021,2,Río Negro,61.94,1250,5570,69356,3663,15019,3867,31488,20009.0,144084,143583,501.0,144084
20212Salta,2021,2,Salta,54.93,1010,200,42543,67012,7099,9654,58882,6328.0,191639,191637,2.0,191639
20212SanJuan,2021,2,San Juan,39.28,180,3330,59989,7840,1255,3400,278,4641.0,78933,78677,256.0,78933
20212SanLuis,2021,2,San Luis,83.48,600,0,11752,2703,5418,65946,22,36917.0,122818,122670,148.0,122818
20212SantaCruz,2021,2,Santa Cruz,44.01,500,0,30595,8463,6888,1575,676,7350.0,48982,48785,197.0,48982
20212SantaFe,2021,2,Santa Fe,75.07,4670,8960,202018,204077,80452,75195,262124,15371.0,840600,840449,151.0,840600
20212SantiagoDelEstero,2021,2,Santiago Del Estero,46.56,1230,9090,32034,62224,10359,8110,6064,1566.0,114090,114089,1.0,114090
20212TierraDelFuego,2021,2,Tierra Del Fuego,67.89,170,0,21335,6913,458,4760,889,1483.0,35693,35404,289.0,35693
20212Tucumán,2021,2,Tucumán,54.93,320,970,40224,51648,23732,5022,109616,268.0,233051,233026,25.0,233051
20211BuenosAires,2021,1,Buenos Aires,69.11,36939,31187,1108368,24052,163747,222061,2246313,10867.0,4060002,4054936,5066.0,4060002
20211CapitalFederal,2021,1,Capital Federal,108.42,1350,2440,159662,76753,56457,83255,1003041,1260.0,1379673,1378283,1390.0,1379673
20211Catamarca,2021,1,Catamarca,48.9,710,0,7423,8455,10115,7120,22996,2196.0,51968,51967,1.0,51968
20211Chaco,2021,1,Chaco,43.14,3010,1120,24357,22102,27556,14496,42462,8384.0,139770,139767,3.0,139770
20211Chubut,2021,1,Chubut,68.99,1060,1090,86986,21401,15392,2844,1112,439.0,132340,131515,825.0,132340
20211Córdoba,2021,1,Córdoba,78.59,930,2386,211799,135092,74659,71984,402191,12677.0,910881,910826,55.0,910881
20211Corrientes,2021,1,Corrientes,42.66,670,5270,31544,26223,26169,9001,27641,5453.0,126625,126622,3.0,126625
20211EntreRíos,2021,1,Entre Ríos,60.44,1050,2911,67255,5606,42432,15774,54600,12826.0,251963,251950,13.0,251963
20211Formosa,2021,1,Formosa,32.73,560,0,22409,7569,7916,1215,9579,1942.0,50686,50686,0.0,50686
20211Jujuy,2021,1,Jujuy,55.63,490,1750,23735,17293,40649,5680,25609,2378.0,110456,110456,0.0,110456
20211LaPampa,2021,1,La Pampa,81.78,2980,5540,68200,7864,7611,2786,7368,2424.0,97105,96989,116.0,97105
20211LaRioja,2021,1,La Rioja,49.81,180,10,36749,5968,4604,2150,5074,-10.0,52628,52625,3.0,52628
20211Mendoza,2021,1,Mendoza,39.15,280,400,134386,11216,52533,4061,16615,440.0,218923,218308,615.0,218923
20211Misiones,2021,1,Misiones,43.17,510,5240,40949,25503,27101,1405,32953,8256.0,149387,149387,0.0,149387
20211Neuquén,2021,1,Neuquén,66.84,1160,3270,56171,8443,5903,5677,50840,5758.0,133235,132862,373.0,133235
20211RíoNegro,2021,1,Río Negro,60.88,1250,4660,70011,4187,13045,3642,29589,20103.0,141168,140667,501.0,141168
20211Salta,2021,1,Salta,53.93,1090,200,40785,68149,9164,8139,54889,6319.0,187574,187572,2.0,187574
20211SanJuan,2021,1,San Juan,39.06,250,1940,60439,8580,11494,3400,276,4641.0,78267,78011,256.0,78267
20211SanLuis,2021,1,San Luis,81.24,580,0,11889,2926,4429,62913,22,36917.0,119154,119006,148.0,119154
20211SantaCruz,2021,1,Santa Cruz,41.65,500,0,30655,8334,6987,1337,647,-1945.0,46065,45868,197.0,46065
20211SantaFe,2021,1,Santa Fe,73.92,5180,8910,201632,204458,91846,65476,236924,24382.0,826127,825990,137.0,826127
20211SantiagoDelEstero,2021,1,Santiago Del Estero,45.67,1230,9090,33884,58464,8549,7000,4868,4144.0,111641,111640,1.0,111641
20211TierraDelFuego,2021,1,Tierra Del Fuego,77.35,170,0,21379,1468,4317,4860,919,11836.0,40422,40133,289.0,40422
20211Tucumán,2021,1,Tucumán,54.82,290,970,42810,53416,25255,4188,103437,268.0,231912,231890,22.0,231912
20204BuenosAires,2020,4,Buenos Aires,68.98,36939,31197,1109865,242243,214171,213588,2176242,9016.0,4033261,4028195,5066.0,4033261
20204CapitalFederal,2020,4,Capital Federal,108.31,1350,2440,160210,78123,60208,80269,1000073,2680.0,1379530,1378140,1390.0,1379530
20204Catamarca,2020,4,Catamarca,49.41,710,0,8843,874,11436,5910,20406,2309.0,52396,52395,1.0,52396
20204Chaco,2020,4,Chaco,43.03,3010,1120,24782,22479,26802,15701,40949,7965.0,139091,139088,3.0,139091
20204Chubut,2020,4,Chubut,68.35,1060,1090,88157,21824,12046,2818,1112,4402.0,130574,129749,825.0,130574
20204Córdoba,2020,4,Córdoba,78.08,1190,2386,214963,135262,82221,70013,384169,13568.0,902701,902646,55.0,902701
20204Corrientes,2020,4,Corrientes,42.43,670,5270,31900,26321,25687,9383,26789,4985.0,125659,125656,3.0,125659
20204EntreRíos,2020,4,Entre Ríos,59.47,1050,2911,65659,53556,40755,166,53141,14654.0,247381,247368,13.0,247381
20204Formosa,2020,4,Formosa,32.49,560,0,23540,7606,7181,1197,8946,168.0,50206,50206,0.0,50206
20204Jujuy,2020,4,Jujuy,53.46,490,1820,23772,14379,4493,4460,19282,2811.0,105851,105851,0.0,105851
20204LaPampa,2020,4,La Pampa,81.77,2980,5540,70184,8124,6562,2396,6257,252.0,96895,96779,116.0,96895
20204LaRioja,2020,4,La Rioja,50.11,180,10,36906,606,4633,1810,4979,0.0,52778,52775,3.0,52778
20204Mendoza,2020,4,Mendoza,38.63,280,400,146312,11172,40396,3378,11557,257.0,215453,214838,615.0,215453
20204Misiones,2020,4,Misiones,42.64,510,5240,39988,26078,26445,1481,32264,7001.0,147161,147161,0.0,147161
20204Neuquén,2020,4,Neuquén,67.0,1160,3270,56434,8478,5791,5493,50776,572.0,133135,132762,373.0,133135
20204RíoNegro,2020,4,Río Negro,61.09,1250,4660,70305,4153,13131,3512,29372,20146.0,141210,140709,501.0,141210
20204Salta,2020,4,Salta,54.04,1090,5140,41443,68829,15188,8291,46697,6319.0,187390,187388,2.0,187390
20204SanJuan,2020,4,San Juan,36.32,250,1940,61316,7400,5126,3320,275,4588.0,72596,72340,256.0,72596
20204SanLuis,2020,4,San Luis,81.68,580,0,14020,349,2688,62239,22,36918.0,119435,119287,148.0,119435
20204SantaCruz,2020,4,Santa Cruz,37.0,470,0,27173,4382,6634,1033,647,7580.0,40674,40477,197.0,40674
20204SantaFe,2020,4,Santa Fe,73.58,5180,8910,206372,203793,94246,65145,226246,23602.0,820813,820676,137.0,820813
20204SantiagoDelEstero,2020,4,Santiago Del Estero,43.75,1230,9090,34518,5759,4666,4110,4520,3932.0,106669,106668,1.0,106669
20204TierraDelFuego,2020,4,Tierra Del Fuego,76.27,170,0,21881,6119,3497,4880,922,669.0,39614,39325,289.0,39614
20204Tucumán,2020,4,Tucumán,54.78,290,970,44095,54334,32155,4105,93594,268.0,231089,231067,22.0,231089
20203BuenosAires,2020,3,Buenos Aires,67.66,37542,31514,1113823,23471,219772,194248,2085815,19853.0,3937277,3932211,5066.0,3937277
